Fri Dec 30 04:14:57 2022    output.dat

         41282251 function calls (40571362 primitive calls) in 85.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50777    0.068    0.000    0.119    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\construction.py:780(is_empty_data)
    50770    0.066    0.000    0.086    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:725(is_)
    50767    0.065    0.000    0.093    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:2114(external_values)
   355372    0.064    0.000    0.064    0.000 {pandas._libs.algos.ensure_platform_int}
   152301    0.064    0.000    0.064    0.000 {built-in method math.isnan}
   406148    0.062    0.000    0.062    0.000 {pandas._libs.lib.is_integer}
   152317    0.060    0.000    0.060    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:4379(_values)
    50788    0.059    0.000    0.125    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\missing.py:144(_isna)
    50770    0.059    0.000    0.059    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:1727(sanitize_to_nanoseconds)
    50771    0.058    0.000    0.058    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:468(is_consolidated)
   253842    0.057    0.000    0.057    0.000 {pandas._libs.lib.item_from_zerodim}
   355397    0.054    0.000    0.054    0.000 {built-in method builtins.callable}
   304622    0.053    0.000    0.053    0.000 {pandas._libs.lib.is_float}
    50789    0.052    0.000    0.178    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:1988(extract_pandas_array)
    50793    0.052    0.000    0.052    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:348(iget)
    50771    0.051    0.000    0.051    0.000 {built-in method pandas._libs.missing.checknull}
    50782    0.051    0.000    0.051    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   152333    0.050    0.000    0.050    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:238(mgr_locs)
       21    0.048    0.002    0.048    0.002 {method 'astype' of 'numpy.ndarray' objects}
    50768    0.047    0.000    0.047    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\_ufunc_config.py:425(__init__)
   152313    0.045    0.000    0.045    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\flags.py:51(allows_duplicate_labels)
    50771    0.045    0.000    0.205    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\common.py:526(require_length_match)
    50781    0.042    0.000    0.050    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\construction.py:662(_maybe_repeat)
    50781    0.041    0.000    0.054    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\construction.py:642(_sanitize_str_dtypes)
    50780    0.041    0.000    0.041    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\_config\config.py:547(_select_options)
    50767    0.037    0.000    0.224    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\ops\dispatch.py:11(should_extension_dispatch)
    50780    0.037    0.000    0.037    0.000 {method 'split' of 'str' objects}
    50782    0.036    0.000    0.036    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:756(_reset_identity)
   152366    0.031    0.000    0.031    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\typing.py:898(cast)
    50786    0.031    0.000    0.031    0.000 {built-in method __new__ of type object at 0x00007FFD2E6469A0}
    50780    0.030    0.000    0.053    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:6279(ensure_index)
    50778    0.030    0.000    0.030    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:344(dtype)
    50769    0.029    0.000    0.362    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:730(__len__)
    50768    0.028    0.000    0.028    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\compat\numpy\function.py:49(__call__)
    50797    0.027    0.000    0.050    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1409(is_1d_only_ea_dtype)
   101620    0.025    0.000    0.025    0.000 {method 'get' of 'dict' objects}
    50767    0.025    0.000    0.025    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:966(_maybe_disallow_fill)
    50791    0.023    0.000    0.023    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:174(blklocs)
    50771    0.022    0.000    0.022    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:818(dtype)
   101546    0.022    0.000    0.022    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\numeric.py:296(_is_all_dates)
    50775    0.020    0.000    0.020    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:245(items)
    50776    0.018    0.000    0.018    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:884(__init__)
    50775    0.018    0.000    0.018    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:1449(name)
    50770    0.016    0.000    0.016    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:564(_constructor)
        6    0.015    0.002    0.015    0.002 {pandas._libs.lib.maybe_convert_objects}
    50768    0.015    0.000    0.015    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:507(_constructor)
       28    0.013    0.000    0.013    0.000 {built-in method _codecs.utf_8_decode}
       11    0.007    0.001    0.007    0.001 {built-in method pandas._libs.missing.isnaobj}
        1    0.004    0.004    0.005    0.005 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:33(__init__)
        1    0.002    0.002    0.211    0.211 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:292(_save_body)
        1    0.002    0.002    0.007    0.007 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1478(_interleave)
    27/21    0.001    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        2    0.001    0.001    0.001    0.001 {built-in method io.open}
        1    0.001    0.001    0.001    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:391(_get_indexer)
